TABLE_NAME,CONSTRAINT_NAME,COLUMN_NAME,KEY_ORDINAL
REVISION_HISTORY,X_REV_HISTORY_1,TYPE,2
REVISION_HISTORY,X_REV_HISTORY_1,STAGE_ID,3
REVISION_HISTORY,X_REV_HISTORY_1,HISTORY_ID,4
REVISION_NUMBERING,X_REV_NUMBERING_1,REVISION_ID,1
SALES_TAX_GRP_PART,X_SALES_TAX_GRP_PART_0,PART_ID,1
SALES_TAX_GRP_PART,X_SALES_TAX_GRP_PART_0,CUSTOMER_ID,2
SALES_TAX_GRP_PART,X_SALES_TAX_GRP_PART_0,ADDR_NO,3
SEMAPHORE,X_SEMAPHORE_0,ID,1
SERVICE_UNIT_CONV,X_SERV_CONV_1,SERVICE_ID,1
SERVICE_UNIT_CONV,X_SERV_CONV_1,TO_UM,2
SERVICE_UNIT_CONV,X_SERV_CONV_1,FROM_UM,3
SHIPPER_LINK,X_SHIPLINK_0,BOL_ID,1
SHIPPER_LINK,X_SHIPLINK_0,TARE_ID,2
SHIPPER_LINK,X_SHIPLINK_0,PALLET_ID,3
SHIPPER_LINK,X_SHIPLINK_0,CARTON_ID,4
SHIPPER_LINK,X_SHIPLINK_0,CARTON_LINE_NO,5
SHIPPER_LINK,X_SHIPLINK_0,CUST_ORDER_ID,6
SHIPPER_LINK,X_SHIPLINK_0,CUST_ORDER_LINE_NO,7
SHIPPER_LINK,X_SHIPLINK_0,CUST_ORDER_DEL_NO,8
SHIPPER_LINK,X_SHIPLINK_0,PACKLIST_ID,9
SHIPPER_LINK,X_SHIPLINK_0,PACKLIST_LINE_NO,10
SOA_CODE_MAP,X_SOA_CODE_MAP_0,LIST_ID,1
SOA_CODE_MAP,X_SOA_CODE_MAP_0,AGENCY_ID,2
SOA_CODE_MAP,X_SOA_CODE_MAP_0,SOA_CODE,3
SOA_CODE_MAP,X_SOA_CODE_MAP_0,VE_CODE,4
SOA_CODE_MAP,X_SOA_CODE_MAP_1,LIST_ID,1
SOA_CODE_MAP,X_SOA_CODE_MAP_1,AGENCY_ID,2
SOA_CODE_MAP,X_SOA_CODE_MAP_1,VE_CODE,3
SOA_NOUN,X_SOA_NOUN_1,ID,1
TRACE,X_TRACE_1,NUMBERING_ID,1
TRACE,X_TRACE_1,ID,2
USAGE_ANALYSIS,X_USAGE_ANALYSIS_0,SITE_ID,1
USAGE_ANALYSIS,X_USAGE_ANALYSIS_0,PART_ID,2
USER_DEF_FIELDS,X_USER_DEF_FIELDS_0,PROGRAM_ID,1
USER_DEF_FIELDS,X_USER_DEF_FIELDS_0,ID,2
USER_DEF_FIELDS,X_USER_DEF_FIELDS_0,DOCUMENT_ID,3
USER_DEF_FIELDS,X_USER_DEF_FIELDS_0,LINE_NO,4
USER_DEF_FIELDS,X_USER_DEF_FIELDS_0,DEL_LINE_NO,5
VEND_CONT_EML_DOC,X_VEND_CONT_EML_DOC_1,VENDOR_ID,1
VEND_CONT_EML_DOC,X_VEND_CONT_EML_DOC_1,CONTACT_NO,2
VEND_CONT_EML_DOC,X_VEND_CONT_EML_DOC_1,DOCUMENT_TYPE,3
VEND_CONT_EML_DOC,X_VEND_CONT_EML_DOC_1,SITE_ID,4
VENDOR_CALENDAR,X_VENDCAL_0,VENDOR_ID,1
VENDOR_CALENDAR,X_VENDCAL_0,SERVICE_ID,2
VENDOR_CALENDAR,X_VENDCAL_0,START_DATE,3
VENDOR_PART,X_VENDOR_PART_0,SITE_ID,1
VENDOR_PART,X_VENDOR_PART_0,PART_ID,2
VENDOR_PART,X_VENDOR_PART_0,VENDOR_ID,3
VENDOR_PART,X_VENDOR_PART_0,VENDOR_PART_ID,4
VENDOR_QUOTE,X_VENDOR_QUOTE_0,VENDOR_ID,1
VENDOR_QUOTE,X_VENDOR_QUOTE_0,VENDOR_PART_ID,2
VENDOR_QUOTE,X_VENDOR_QUOTE_0,CONTRACT_ID,3
VENDOR_QUOTE,X_VENDOR_QUOTE_0,CONTRACT_LINE_NO,4
VENDOR_QUOTE,X_VENDOR_QUOTE_0,MFG_NAME,5
VENDOR_QUOTE,X_VENDOR_QUOTE_0,MFG_PART_ID,6
VENDOR_QUOTE,X_VENDOR_QUOTE_0,SITE_ID,7
VENDOR_SERV_QUOTE,X_VENDSERV_QUOTE_0,VENDOR_ID,1
VENDOR_SERV_QUOTE,X_VENDSERV_QUOTE_0,VENDOR_SERVICE_ID,2
VENDOR_SERV_QUOTE,X_VENDSERV_QUOTE_0,CONTRACT_ID,3
VENDOR_SERV_QUOTE,X_VENDSERV_QUOTE_0,CONTRACT_LINE_NO,4
VENDOR_SERV_QUOTE,X_VENDSERV_QUOTE_0,SITE_ID,5
VENDOR_WEEK,X_VENDWEEK_0,VENDOR_ID,1
VENDOR_WEEK,X_VENDWEEK_0,SERVICE_ID,2
VENDOR_WEEK,X_VENDWEEK_0,DAY_OF_WEEK,3
VR_CAL_DATE,VR_CAL_DATE_0,CAL_DAY,1
VR_PAYABLE_DET,VR_PAYABLE_DET_0,VOUCHER_ID,1
VR_PAYABLE_DET,VR_PAYABLE_DET_0,SITE_ID,2
VR_PAYABLE_DET,VR_PAYABLE_DET_0,LINE_NO,3
VR_RECEIVABLE_HDR,VR_RECEIVABLE_HDR_0,INVOICE_ID,1
VR_RECEIVABLE_HDR,VR_RECEIVABLE_HDR_0,SITE_ID,2
WORK_ORDER,X_WORK_ORDER_3,TYPE,1
WORK_ORDER,X_WORK_ORDER_3,BASE_ID,2
WORK_ORDER,X_WORK_ORDER_3,LOT_ID,3
WORK_ORDER,X_WORK_ORDER_3,SPLIT_ID,4
WORK_ORDER,X_WORK_ORDER_3,SUB_ID,5
WORK_ORDER,X_WORK_ORDER_3,SITE_ID,6
WORKFLOW,X_WORKFLOW_1,APPLICATION_AREA,1
WORKFLOW,X_WORKFLOW_1,TEMPLATE_NAME,2
WORKFLOW,X_WORKFLOW_1,REFERENCE,3
WORKFLOW,X_WORKFLOW_1,EVALUATE_ON_TIMER,4
