ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-070071,90,30,FGF0010-01,0.00000000,0.00000000,0.00000000,2026-03-31 00:00:00.000,MTM2,0.00000000
WO-070090,10,10,MMC0000659,103013.56000000,9.98000000,0.00000000,2026-03-31 00:00:00.000,MTM2,67410.18000000
WO-070090,10,20,FGT0001-01,0.00000000,0.00000000,0.00000000,2026-03-31 00:00:00.000,MTM2,0.00000000
WO-070090,19,10,FGT0001-01,0.00000000,0.00000000,0.00000000,2026-03-31 00:00:00.000,MTM2,0.00000000
WO-070090,19,20,GENFOAM4,207.00000000,0.02000000,0.00000000,2026-03-31 00:00:00.000,MTM2,223.00000000
WO-070136,90,10,TA3231BUSH,6654.00000000,2.00000000,0.00000000,2026-04-17 01:00:00.000,MTM2,49481.00000000
WO-070136,90,20,TA32317-Raw,3327.00000000,1.00000000,0.00000000,2026-04-17 01:00:00.000,MTM2,3720.00000000
WO-070136,919,10,RCA05,47.00000000,0.01390000,0.00000000,2026-05-19 13:20:00.000,MTM2,205.00000000
WO-070137,90,10,TA3231BUSH,6000.00000000,2.00000000,0.00000000,2026-04-24 01:00:00.000,MTM2,49481.00000000
WO-070137,90,20,TA32318-Raw,3000.00000000,1.00000000,0.00000000,2026-04-24 01:00:00.000,MTM2,1298.00000000
WO-070137,919,10,RCA05,42.00000000,0.01390000,0.00000000,2026-06-03 07:30:00.000,MTM2,205.00000000
WO-070141,10,10,MMC0000741,30371.23000000,11.17000000,0.00000000,2026-04-24 00:00:00.000,MTM2,70095.00000000
WO-070141,10,20,FGT1130-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070141,20,10,FGT1131-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070141,30,10,FGT1129-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070142,10,10,MMC0000523,8694.30000000,3.97000000,0.00000000,2026-04-21 06:40:00.000,MTM2,0.00000000
WO-070142,10,20,FGT0611-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070142,10,30,FGT0124-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070142,80,10,23-10721-100,6570.00000000,3.00000000,0.00000000,2026-05-29 01:40:00.000,MTM2,7241.00000000
WO-070142,80,30,FGF0030-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070142,90,10,23-10721-125,4380.00000000,2.00000000,0.00000000,2026-05-29 05:30:00.000,MTM2,5000.00000000
WO-070142,90,30,FGF0030-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070145,10,10,MMC0000684,1363.72000000,1.03000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070145,10,20,FGT1122-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070145,20,10,946761,1324.00000000,1.00000000,0.00000000,2026-05-10 23:30:00.000,MTM2,17035.00000000
WO-070145,20,20,FGT1114-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070150,10,10,MMC0000518,15491.19000000,1.57000000,0.00000000,2026-04-16 00:00:00.000,MTM2,16410.00000000
WO-070150,10,20,FGT0265-02,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070150,90,10,23-11669-100,19734.00000000,2.00000000,0.00000000,2026-04-17 02:30:00.000,MTM2,38220.00000000
WO-070154,10,10,MMC0001152,7385.28000000,9.42000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070154,10,20,FGT1209-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070154,19,10,FGT1064-01,0.00000000,0.00000000,0.00000000,2026-04-02 00:00:00.000,MTM2,0.00000000
WO-070162,10,10,40250-LH-Blank,106.00000000,1.00000000,0.00000000,2026-04-03 00:00:00.000,MTM2,103.00000000
WO-070162,10,20,FGT0132-01,0.00000000,0.00000000,0.00000000,2026-04-03 00:00:00.000,MTM2,0.00000000
WO-070162,20,10,FGT0149-01,0.00000000,0.00000000,0.00000000,2026-04-03 00:00:00.000,MTM2,0.00000000
WO-070165,10,10,MMF0000007,2390.57000000,4.81000000,0.00000000,2026-04-10 00:00:00.000,MTM2,4910.00000000
WO-070165,10,20,FGT0541-01,0.00000000,0.00000000,0.00000000,2026-04-10 00:00:00.000,MTM2,0.00000000
WO-070165,29,10,FGT0542-01,0.00000000,0.00000000,0.00000000,2026-04-10 00:00:00.000,MTM2,0.00000000
WO-070165,29,20,FGT0128-01,0.00000000,0.00000000,0.00000000,2026-04-10 00:00:00.000,MTM2,0.00000000
WO-070165,29,30,FGT0129-01,0.00000000,0.00000000,0.00000000,2026-04-10 00:00:00.000,MTM2,0.00000000
WO-070179,10,10,MMC0000751,2538.40000000,1.67000000,0.00000000,2026-04-22 21:40:00.000,MTM2,0.00000000
WO-070179,10,20,FGT0986-01,0.00000000,0.00000000,0.00000000,2026-04-03 00:00:00.000,MTM2,0.00000000
WO-070179,90,10,66-20730-020,3040.00000000,2.00000000,0.00000000,2026-05-29 01:40:00.000,MTM2,5419.00000000
WO-070179,90,20,FGF0017-01,0.00000000,0.00000000,0.00000000,2026-04-03 00:00:00.000,MTM2,0.00000000
WO-070184,10,10,MMF0002006,360.00000000,18.00000000,0.00000000,2026-04-03 00:00:00.000,MTM2,239.00000000
WO-070184,30,10,FGT0749-01,0.00000000,0.00000000,0.00000000,2026-04-03 00:00:00.000,MTM2,0.00000000
WO-070227,10,10,MMF0005525,513.73000000,2.87000000,0.00000000,2026-04-06 00:00:00.000,MTM2,10695.00000000
WO-070227,90,10,25093397,537.00000000,3.00000000,0.00000000,2026-04-06 00:00:00.000,MTM2,994.00000000
WO-070248,10,10,160347-PS-Blank,49.00000000,1.00000000,0.00000000,2026-05-21 17:10:00.000,MTM2,0.00000000
WO-070248,10,20,FGT0132-01,0.00000000,0.00000000,0.00000000,2026-04-07 00:00:00.000,MTM2,0.00000000
WO-070248,20,10,FGT0149-01,0.00000000,0.00000000,0.00000000,2026-04-07 00:00:00.000,MTM2,0.00000000
WO-070250,19,10,22-77723-080-Raw,25.00000000,1.00000000,0.00000000,2026-04-07 00:00:00.000,MTM2,0.00000000
WO-070250,29,10,FGT0001-01,0.00000000,0.00000000,0.00000000,2026-04-07 00:00:00.000,MTM2,0.00000000
WO-070261,10,10,MMC0000367,15827.00000000,3.50000000,0.00000000,2026-04-14 10:10:00.000,MTM2,29366.00000000
WO-070261,10,20,FGT0509-01,0.00000000,0.00000000,0.00000000,2026-04-08 00:00:00.000,MTM2,0.00000000
WO-070261,19,10,CLS-832-2,9044.00000000,2.00000000,0.00000000,2026-04-14 14:00:00.000,MTM2,134386.00000000
WO-070261,19,20,FGT0084-01,0.00000000,0.00000000,0.00000000,2026-04-08 00:00:00.000,MTM2,0.00000000
WO-070269,90,10,XNM06024,514.00000000,2.00000000,0.00000000,2026-04-08 00:00:00.000,MTM2,6109.00000000
WO-070269,90,20,GM93206-Formed,257.00000000,1.00000000,0.00000000,2026-04-08 00:00:00.000,MTM2,0.00000000
WO-070269,109,10,GM93206-1,257.00000000,1.00000000,0.00000000,2026-04-08 00:00:00.000,MTM2,450.00000000
WO-070270,10,10,MMF0005011,71.76000000,0.46000000,0.00000000,2026-04-08 00:00:00.000,MTM2,85.00000000
WO-070270,30,10,962689,312.00000000,2.00000000,0.00000000,2026-04-20 22:20:00.000,MTM2,17182.00000000
WO-070276,10,10,MMF0005114,1225.60000000,76.60000000,0.00000000,2026-04-23 20:10:00.000,MTM2,1002.00000000
WO-070276,19,10,FGT0459-01,0.00000000,0.00000000,0.00000000,2026-04-08 00:00:00.000,MTM2,0.00000000
WO-070277,10,10,MMC0000529,46599.00000000,2.45000000,0.00000000,2026-04-30 14:10:00.000,MTM2,59520.00000000
WO-070277,10,20,FGT0144-01,0.00000000,0.00000000,0.00000000,2026-04-08 00:00:00.000,MTM2,0.00000000
WO-070277,90,10,900073 008100,38040.00000000,2.00000000,0.00000000,2026-06-03 22:20:00.000,MTM2,91401.00000000
WO-070294,10,10,MMC0000659,85778.10000000,9.98000000,0.00000000,2026-04-17 00:00:00.000,MTM2,67410.18000000
WO-070294,10,20,FGT0001-01,0.00000000,0.00000000,0.00000000,2026-04-09 00:00:00.000,MTM2,0.00000000
WO-070294,19,10,FGT0001-01,0.00000000,0.00000000,0.00000000,2026-04-09 00:00:00.000,MTM2,0.00000000
WO-070294,19,20,GENFOAM4,172.00000000,0.02000000,0.00000000,2026-04-16 10:20:00.000,MTM2,223.00000000
WO-070300,10,10,MMC0001140,4191.50000000,1.01000000,0.00000000,2026-05-29 00:10:00.000,MTM2,7270.00000000
WO-070300,10,20,FGT1194-01,0.00000000,0.00000000,0.00000000,2026-04-10 00:00:00.000,MTM2,0.00000000
WO-070300,90,10,900073 008100,4150.00000000,1.00000000,0.00000000,2026-05-29 09:10:00.000,MTM2,91401.00000000
WO-070325,10,10,40250-RH-Blank,101.00000000,1.00000000,0.00000000,2026-05-11 05:40:00.000,MTM2,0.00000000
WO-070325,10,20,FGT0132-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070325,20,10,FGT0149-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070330,10,10,MMF0005531,8140.00000000,220.00000000,0.00000000,2026-04-29 12:20:00.000,MTM2,3232.00000000
WO-070330,70,10,FGT1214-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070337,10,10,MMF0005512,2215.59000000,5.07000000,0.00000000,2026-05-07 00:00:00.000,MTM2,2082.00000000
WO-070337,20,10,FGT0579-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070337,409,10,23-12625-002,3496.00000000,8.00000000,0.00000000,2026-05-07 17:30:00.000,MTM2,89799.00000000
WO-070340,10,10,MMF0005512,4119.90000000,1.55000000,0.00000000,2026-05-26 17:10:00.000,MTM2,2082.00000000
WO-070340,70,10,SS-M5-2ZI,2658.00000000,1.00000000,0.00000000,2026-05-29 08:10:00.000,MTM2,10599.00000000
WO-070342,10,10,MMC0000072,3975.40000000,5.56000000,0.00000000,2026-05-11 09:10:00.000,MTM2,0.00000000
WO-070342,10,20,FGT0001-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070342,90,10,W99996-06002S,5005.00000000,7.00000000,0.00000000,2026-05-11 15:40:00.000,MTM2,118476.00000000
WO-070346,10,10,MMC0000367,29060.50000000,3.50000000,0.00000000,2026-04-20 03:00:00.000,MTM2,29366.00000000
WO-070346,10,20,FGT0509-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070346,19,10,CLS-832-2,16606.00000000,2.00000000,0.00000000,2026-04-24 06:40:00.000,MTM2,134386.00000000
WO-070346,19,20,FGT0084-01,0.00000000,0.00000000,0.00000000,2026-04-14 00:00:00.000,MTM2,0.00000000
WO-070348,10,10,MMC0000376,717.50000000,2.87000000,0.00000000,2026-04-17 02:30:00.000,MTM2,3200.00000000
