TABLE_NAME,ROW_COUNT
TASK_BINARY,209
V_NAVBAR,204
APPLICATION_LINK,183
NEXT_NUMBER_GEN,160
E_BACKLOG_SUM,156
E_LATE_SUM,156
E_LATEJOB_SUM,156
E_OPENJOB_SUM,156
E_OPENOPS_SUM,156
E_PAYABLE_SUM,156
E_PURCBACK_SUM,156
E_PURCLATE_SUM,156
E_PURCOPEN_SUM,156
E_RECEIVABLE_SUM,155
APPLICATION,152
MASTER_SCHEDULE,152
VENDOR_REMIT_ADDR,144
E_CUSTSVLV_SUM,133
V_ADMIN,128
PART_BINARY,124
E_PAYB_INV_SUM,122
SOA_DIMENSION,122
E_SHIP_SUM,121
E_PURCSVLV_SUM,114
V_LOG,111
E_BOOK_SUM,109
E_JOBSTARTS_SUM,109
E_OPSSTARTS_SUM,109
CARRIER,106
E_OPSCOMPL_SUM,104
E_SCHEDSVLV_SUM,103
E_WANTSVLV_SUM,103
E_JOBCOMP_SUM,102
E_PURCRECV_SUM,100
USER_DIM_PROC_PRI,98
SHOP_VIEW,97
E_ESTIM_SUM,93
LABEL_TYPE_VAR,93
E_PROFORMA_SUM,91
E_FACTLOAD_SUM,89
E_RECV_INV_SUM,89
E_RECV_NEW_SUM,89
PALLET_DETAIL,81
T_NORMAL_DIST,81
T_SEC_APPROX_K1,81
APPLICATION_FIELDS,77
TMP_KREI_2219,69
GL_INTERFACE,66
E_OPSSVLV_SUM,65
CUST_GROUP_RELATION,63
V_RPT_OPT,61
QRP_CONTROL,60
VMDI_SPECIAL_COLS,58
SOA_NOUN,57
E_PAYB_NEW_SUM,56
STATE_PROVINCE,54
GAGE,51
SHOP_GROUP,48
APP_CONFIG,46
V_USER,41
DRILLBACK,40
OPERATION_RESOURCE,40
GL_INTERFACE_ACCT,39
RECEIVER_LINE_DEL,37
PHYSICAL_COUNT,35
GOTO_TABLE_COLUMN,34
PURC_LINE_DEL,34
LABEL_FORMAT_FIELD,32
LOGINS,32
TERMS,32
E_CLASS,30
TMP_KREI_3912,30
SALES_REP,29
RECEIVABLE_BINARY,28
NOTIFICATION_TEMPLATE,27
SHIP_VIA,26
APP_CONFIG_USER,25
CHART_FACTORS,24
V_RPT_USER_OPT,23
EXTRA_JOIN,21
PART_UNITS_CONV,21
SEMAPHORE,21
GOTO_VMPGM,19
COMMODITY,18
REPORT_CAL_MAP,17
REPORT_CALENDAR,17
LABEL_TYPE,16
QUERY,16
SHIFT,16
TERRITORY,16
ADDRESS_POS_SETUP,14
SERVICE_CHARGE,14
SETTINGS,14
SHIFT_DAY,14
SHIPPER_LINK,14
V_FILTER,14
APPLICATION_GROUP,13
CARTON,13
CARTON_LINE,13
V_RPT,13
CALENDAR_WEEK,11
PART_CO_BINARY,11
PRODUCT,9
UOM_CATEGORY,9
V_ANNUAL_SALES,9
DIMENSION_DESC,8
SERVICE,8
SERVICE_SITE,8
AIC,7
CALENDAR_CHANGE,7
EC_TYPES,7
HOLD_REASON,7
PART_MFG_BINARY,7
UDF_LAYOUT,7
V_AREA,7
V_USER_TYPE,7
CUST_PRICE_EFFECT,6
DEPARTMENT,6
EC_REASONS,6
LABEL_FORMAT,6
SITE_SETTINGS,6
UNITS,6
WEB_SESSION,6
ADJ_REASON,5
CUSTOMER_GROUP,5
ECN_DISPOSITION,5
HONORIFIC,5
PROFILES,5
REQUEST_FOR_QUOTE,5
RFQ_LINE,5
RFQ_VENDOR,5
SHIPTO_ADDRESS,5
GROUP_USER,4
INSPECTION_ORDER,4
PACKAGE_TYPE,4
PROJECT_TYPE,4
RFQ_VENDOR_QUOTE,4
RMA_LINE_BINARY,4
SCHEDULE,4
SERV_DISP_BINARY,4
STAGE,4
V_QUOTE_CURR,4
WAREHOUSE,4
COST_GROUP,3
DEFECT_CLASS,3
FOB_POINT,3
