RESOURCE_ID,RESOURCE_DESCRIPTION,RESOURCE_TYPE,DEPARTMENT_ID,SCHEDULE_GROUP_ID,SCHEDULE_NORMALLY,OPERATION_ROW_COUNT,DISTINCT_WORK_ORDERS,DISTINCT_SEQUENCES,FIRST_SCHED_START_DATE,LAST_SCHED_FINISH_DATE
880-GRP,Manual Finish Group,G,NULL,NULL,Y,3183,3114,3183,2007-11-01 19:50:00.000,2026-05-22 00:00:00.000
880-PAK,Manual Finish Packaging,W,NULL,NULL,Y,65,65,65,2025-02-13 01:50:00.000,2026-02-19 04:30:00.000
890-01,Stoelting Parts Washer,W,NULL,NULL,Y,926,892,926,2019-09-18 13:00:00.000,2026-01-09 11:00:00.000
890-03,Integrity 4-Stage Parts Washer,W,NULL,NULL,Y,47,47,47,2022-12-16 07:00:00.000,2026-06-05 07:50:00.000
890-05,Integrity 4-Stage Parts Washer-Large,W,NULL,NULL,Y,2,2,2,2026-06-04 22:40:00.000,2026-06-04 22:50:00.000
971-05,Air Compressor - Atlas,W,NULL,NULL,N,0,0,1,NULL,NULL
972-01,Drier - Van Air,W,NULL,NULL,Y,0,0,1,NULL,NULL
977-01,Battery Charger - Chloride,W,NULL,NULL,N,0,0,1,NULL,NULL
977-02,Battery Charger - Charter,W,NULL,NULL,Y,0,0,1,NULL,NULL
977-03,Battery Charger - Exide,W,NULL,NULL,N,0,0,1,NULL,NULL
