TABLE_NAME,TRIGGER_NAME,TYPE_DESC,IS_INSTEAD_OF_TRIGGER,IS_DISABLED,TRIGGER_EVENT
CO_PRODUCT,DELETE_CO_PRODUCT,SQL_TRIGGER,NO,NO,DELETE
CO_PRODUCT,INSERT_CO_PRODUCT,SQL_TRIGGER,NO,NO,INSERT
CO_PRODUCT,UPDATE_CO_PRODUCT,SQL_TRIGGER,NO,NO,UPDATE
CONSOLID_ACCOUNT,UPDATE_CONSOLID_ACCOUNT,SQL_TRIGGER,NO,NO,UPDATE
CONTACT,UPDATE_CONTACT,SQL_TRIGGER,NO,NO,UPDATE
CONTACT,V_AD_CONTACT,SQL_TRIGGER,NO,NO,DELETE
CONTACT,V_AI_CONTACT,SQL_TRIGGER,NO,NO,INSERT
CONTACT,V_AU_CONTACT,SQL_TRIGGER,NO,NO,UPDATE
CREDIT_MEMO_APPLY,DELETE_CREDIT_MEMO_APPLY,SQL_TRIGGER,NO,NO,DELETE
CREDIT_MEMO_APPLY,INSERT_CREDIT_MEMO_APPLY,SQL_TRIGGER,NO,NO,INSERT
CREDIT_MEMO_APPLY,UPDATE_CREDIT_MEMO_APPLY,SQL_TRIGGER,NO,NO,UPDATE
CURRENCY,UPDATE_CURRENCY,SQL_TRIGGER,NO,NO,UPDATE
CUST_ADDRESS,V_AD_CUST_ADDRESS,SQL_TRIGGER,NO,NO,DELETE
CUST_ADDRESS,V_AI_CUST_ADDR,SQL_TRIGGER,NO,NO,INSERT
CUST_ADDRESS,V_AU_CUST_ADDRESS,SQL_TRIGGER,NO,NO,UPDATE
CUST_CONTACT,DELETE_CUST_CONTACT,SQL_TRIGGER,NO,NO,DELETE
CUST_CONTACT,INSERT_CUST_CONTACT,SQL_TRIGGER,NO,NO,INSERT
CUST_CONTACT,UPDATE_CUST_CONTACT,SQL_TRIGGER,NO,NO,UPDATE
CUST_CONTACT,V_AD_CUST_CONTACT,SQL_TRIGGER,NO,NO,DELETE
CUST_CONTACT,V_AI_CUST_CONT,SQL_TRIGGER,NO,NO,INSERT
CUST_CONTACT,V_AU_CUST_CONT,SQL_TRIGGER,NO,NO,UPDATE
CUST_LINE_BILLING,INSERT_CUST_LINE_BILLING,SQL_TRIGGER,NO,NO,INSERT
CUST_LINE_BILLING,UPDATE_CUST_LINE_BILLING,SQL_TRIGGER,NO,NO,UPDATE
CUST_LINE_BINARY,INSUPD_CUST_LINE_BINARY,SQL_TRIGGER,NO,NO,INSERT
CUST_LINE_BINARY,INSUPD_CUST_LINE_BINARY,SQL_TRIGGER,NO,NO,UPDATE
CUST_LINE_DEL,DELETE_CUST_LINE_DEL,SQL_TRIGGER,NO,NO,DELETE
CUST_LINE_DEL,INSERT_CUST_LINE_DEL,SQL_TRIGGER,NO,NO,INSERT
CUST_LINE_DEL,UPDATE_CUST_LINE_DEL,SQL_TRIGGER,NO,NO,UPDATE
CUST_ORDER_CURR,DELETE_CUST_ORDER_CURR,SQL_TRIGGER,NO,NO,DELETE
CUST_ORDER_CURR,INSERT_CUST_ORDER_CURR,SQL_TRIGGER,NO,NO,INSERT
CUST_ORDER_CURR,UPDATE_CUST_ORDER_CURR,SQL_TRIGGER,NO,NO,UPDATE
CUST_ORDER_LINE,DELETE_CUST_ORDER_LINE,SQL_TRIGGER,NO,NO,DELETE
CUST_ORDER_LINE,INSERT_CUST_ORDER_LINE,SQL_TRIGGER,NO,NO,INSERT
CUST_ORDER_LINE,UPDATE_CUST_ORDER_LINE,SQL_TRIGGER,NO,NO,UPDATE
CUSTOMER,DELETE_CUSTOMER,SQL_TRIGGER,NO,NO,DELETE
CUSTOMER,UPDATE_CUSTOMER,SQL_TRIGGER,NO,NO,UPDATE
CUSTOMER,V_AD_CUSTOMER,SQL_TRIGGER,NO,NO,DELETE
CUSTOMER,V_AI_CUSTOMER,SQL_TRIGGER,NO,NO,INSERT
CUSTOMER,V_AU_CUSTOMER,SQL_TRIGGER,NO,NO,UPDATE
CUSTOMER,V_AU_CUSTOMER1,SQL_TRIGGER,NO,NO,UPDATE
CUSTOMER_CONTACT,DELETE_CUSTOMER_CONTACT,SQL_TRIGGER,NO,NO,DELETE
CUSTOMER_DISCOUNT,UPDATE_CUSTOMER_DISCOUNT,SQL_TRIGGER,NO,NO,UPDATE
CUSTOMER_ENTITY,V_AI_CUST_ENTITY,SQL_TRIGGER,NO,NO,INSERT
CUSTOMER_ENTITY,V_AU_CUST_ENTITY,SQL_TRIGGER,NO,NO,UPDATE
CUSTOMER_ORDER,DELETE_CUSTOMER_ORDER,SQL_TRIGGER,NO,NO,DELETE
CUSTOMER_ORDER,INSERT_CUSTOMER_ORDER,SQL_TRIGGER,NO,NO,INSERT
CUSTOMER_ORDER,UPDATE_CUSTOMER_ORDER,SQL_TRIGGER,NO,NO,UPDATE
CUSTOMER_SITE,V_AI_CUST_SITE,SQL_TRIGGER,NO,NO,INSERT
CUSTOMER_SITE,V_AU_CUST_SITE,SQL_TRIGGER,NO,NO,UPDATE
DEMAND_SUPPLY_LINK,DELETE_DEMAND_SUPPLY_LINK,SQL_TRIGGER,NO,NO,DELETE
DEMAND_SUPPLY_LINK,INSERT_DEMAND_SUPPLY_LINK,SQL_TRIGGER,NO,NO,INSERT
DEMAND_SUPPLY_LINK,UPDATE_DEMAND_SUPPLY_LINK,SQL_TRIGGER,NO,NO,UPDATE
DOCUMENT,INSERT_DOCUMENT,SQL_TRIGGER,NO,NO,INSERT
EARNING_CODE,UPDATE_EARNING_CODE,SQL_TRIGGER,NO,NO,UPDATE
EC,DELETE_EC,SQL_TRIGGER,NO,NO,DELETE
EC,INSERT_EC,SQL_TRIGGER,NO,NO,INSERT
EC,UPDATE_EC,SQL_TRIGGER,NO,NO,UPDATE
EC_LINE,DELETE_EC_LINE,SQL_TRIGGER,NO,NO,INSERT
EC_LINE,INSERT_EC_LINE,SQL_TRIGGER,NO,NO,INSERT
EC_LINE,UPDATE_EC_LINE,SQL_TRIGGER,NO,NO,UPDATE
ECN,UPDATE_ECN,SQL_TRIGGER,NO,NO,UPDATE
ECN_DETAIL,DELETE_ECN_DETAIL,SQL_TRIGGER,NO,NO,DELETE
EMPLOYEE,V_AI_EMPLOYEE,SQL_TRIGGER,NO,NO,INSERT
GJ,UPDATE_GJ,SQL_TRIGGER,NO,NO,UPDATE
GJ_DIST,INSERT_GJ_DIST,SQL_TRIGGER,NO,NO,INSERT
GJ_DIST,UPDATE_GJ_DIST,SQL_TRIGGER,NO,NO,UPDATE
GJ_LINE,UPDATE_GJ_LINE,SQL_TRIGGER,NO,NO,UPDATE
GL_INTERFACE,UPDATE_GL_INTERFACE,SQL_TRIGGER,NO,NO,UPDATE
IBT,UPDATE_IBT,SQL_TRIGGER,NO,NO,UPDATE
IBT_LINE,DELETE_IBT_LINE,SQL_TRIGGER,NO,NO,DELETE
IBT_LINE,INSERT_IBT_LINE,SQL_TRIGGER,NO,NO,INSERT
IBT_LINE,UPDATE_IBT_LINE,SQL_TRIGGER,NO,NO,UPDATE
INDIRECT,UPDATE_INDIRECT,SQL_TRIGGER,NO,NO,UPDATE
INDIRECT_DIST,DELETE_INDIRECT_DIST,SQL_TRIGGER,NO,NO,DELETE
INDIRECT_DIST,INSERT_INDIRECT_DIST,SQL_TRIGGER,NO,NO,INSERT
INDIRECT_DIST,UPDATE_INDIRECT_DIST,SQL_TRIGGER,NO,NO,UPDATE
INSTALLMENT,V_AI_INSTALLMENT,SQL_TRIGGER,NO,NO,INSERT
INSTALLMENT,V_AU_INSTALLMENT,SQL_TRIGGER,NO,NO,UPDATE
INSTALLMENT,V_DE_INSTALLMENT,SQL_TRIGGER,NO,NO,DELETE
INSTALLMENT_LINE,V_AI_INST_LINE,SQL_TRIGGER,NO,NO,INSERT
INSTALLMENT_LINE,V_AU_INST_LINE,SQL_TRIGGER,NO,NO,UPDATE
INSTALLMENT_LINE,V_DE_INST_LINE,SQL_TRIGGER,NO,NO,DELETE
