TABLE_NAME,TRIGGER_NAME,TYPE_DESC,IS_INSTEAD_OF_TRIGGER,IS_DISABLED,TRIGGER_EVENT
SERVICE_DISPATCHED,DELETE_SERVICE_DISPATCHED,SQL_TRIGGER,NO,NO,DELETE
SERVICE_DISPATCHED,INSERT_SERVICE_DISPATCHED,SQL_TRIGGER,NO,NO,INSERT
SERVICE_DISPATCHED,UPDATE_SERVICE_DISPATCHED,SQL_TRIGGER,NO,NO,UPDATE
SERVICE_RCVR_DISP,DELETE_SERVICE_RCVR_DISP,SQL_TRIGGER,NO,NO,DELETE
SERVICE_RCVR_DISP,INSERT_SERVICE_RCVR_DISP,SQL_TRIGGER,NO,NO,INSERT
SERVICE_RCVR_DISP,UPDATE_SERVICE_RCVR_DISP,SQL_TRIGGER,NO,NO,UPDATE
SERVICE_RECEIPT,DELETE_SERVICE_RECEIPT,SQL_TRIGGER,NO,NO,DELETE
SERVICE_RECEIPT,INSERT_SERVICE_RECEIPT,SQL_TRIGGER,NO,NO,INSERT
SERVICE_RECEIPT,UPDATE_SERVICE_RECEIPT,SQL_TRIGGER,NO,NO,UPDATE
SERVICE_SITE,UPDATE_SERVICE_SITE,SQL_TRIGGER,NO,NO,UPDATE
SHIPMENT_DIST,DELETE_SHIPMENT_DIST,SQL_TRIGGER,NO,NO,DELETE
SHIPMENT_DIST,INSERT_SHIPMENT_DIST,SQL_TRIGGER,NO,NO,INSERT
SHIPMENT_DIST,UPDATE_SHIPMENT_DIST,SQL_TRIGGER,NO,NO,UPDATE
SHIPPER,DELETE_SHIPPER,SQL_TRIGGER,NO,NO,DELETE
SHIPPER,INSERT_SHIPPER,SQL_TRIGGER,NO,NO,INSERT
SHIPPER,UPDATE_SHIPPER,SQL_TRIGGER,NO,NO,UPDATE
SHIPPER_LINE,DELETE_SHIPPER_LINE,SQL_TRIGGER,NO,NO,DELETE
SHIPPER_LINE,INSERT_SHIPPER_LINE,SQL_TRIGGER,NO,NO,INSERT
SHIPPER_LINE,UPDATE_SHIPPER_LINE,SQL_TRIGGER,NO,NO,UPDATE
SHIPTO_ADDRESS,UPDATE_SHIPTO_ADDRESS,SQL_TRIGGER,NO,NO,UPDATE
SHOP_RESOURCE,UPDATE_SHOP_RESOURCE,SQL_TRIGGER,NO,NO,UPDATE
SITE,INSERT_SITE,SQL_TRIGGER,NO,NO,INSERT
SITE,UPDATE_SITE,SQL_TRIGGER,NO,NO,UPDATE
SPLIT_TRANS,DELETE_SPLIT_TRANS,SQL_TRIGGER,NO,NO,DELETE
SPLIT_TRANS,INSERT_SPLIT_TRANS,SQL_TRIGGER,NO,NO,INSERT
SPLIT_TRANS,UPDATE_SPLIT_TRANS,SQL_TRIGGER,NO,NO,UPDATE
STAGE,DELETE_STAGE,SQL_TRIGGER,NO,NO,DELETE
TASK,UPDATE_TASK,SQL_TRIGGER,NO,NO,UPDATE
TEST,DELETE_TEST,SQL_TRIGGER,NO,NO,DELETE
TEST,UPDATE_TEST,SQL_TRIGGER,NO,NO,UPDATE
TEST_STEP,INSERT_TEST_STEP,SQL_TRIGGER,NO,NO,INSERT
TEST_STEP,UPDATE_TEST_STEP,SQL_TRIGGER,NO,NO,UPDATE
TRACE,UPDATE_TRACE,SQL_TRIGGER,NO,NO,UPDATE
TRACE_NUMBERING,UPDATE_TRACE_NUMBERING,SQL_TRIGGER,NO,NO,UPDATE
UNITS,DELETE_UNITS,SQL_TRIGGER,NO,NO,DELETE
UNITS,UPDATE_UNITS,SQL_TRIGGER,NO,NO,UPDATE
UNITS_CONVERSION,INSERT_UNITS_CONVERSION,SQL_TRIGGER,NO,NO,INSERT
UNITS_CONVERSION,UPDATE_UNITS_CONVERSION,SQL_TRIGGER,NO,NO,UPDATE
UNP_MNT_CALLS,DELETE_UNP_MNT_CALLS,SQL_TRIGGER,NO,NO,INSERT
UNP_MNT_CALLS,INSERT_UNP_MNT_CALLS,SQL_TRIGGER,NO,NO,INSERT
UNP_MNT_CALLS,UPDATE_UNP_MNT_CALLS,SQL_TRIGGER,NO,NO,UPDATE
VEND_CONTACT,DELETE_VEND_CONTACT,SQL_TRIGGER,NO,NO,DELETE
VEND_CONTACT,INSERT_VEND_CONTACT,SQL_TRIGGER,NO,NO,INSERT
VEND_CONTACT,UPDATE_VEND_CONTACT,SQL_TRIGGER,NO,NO,UPDATE
VENDOR,DELETE_VENDOR,SQL_TRIGGER,NO,NO,DELETE
VENDOR,UPDATE_VENDOR,SQL_TRIGGER,NO,NO,UPDATE
VMDI_ACK_CODES,UPDATE_VMDI_ACK_CODES,SQL_TRIGGER,NO,NO,UPDATE
VR_DATA_SOURCE_TABLE,DELETE_VR_DATA_SOURCE_TABLE,SQL_TRIGGER,NO,NO,DELETE
WAREHOUSE,UPDATE_WAREHOUSE,SQL_TRIGGER,NO,NO,UPDATE
WBS,UPDATE_WBS,SQL_TRIGGER,NO,NO,UPDATE
WIP_BALANCE,INSERT_WIP_BALANCE,SQL_TRIGGER,NO,NO,INSERT
WIP_BALANCE,UPDATE_WIP_BALANCE,SQL_TRIGGER,NO,NO,UPDATE
WIP_ISSUE_DIST,DELETE_WIP_ISSUE_DIST,SQL_TRIGGER,NO,NO,DELETE
WIP_ISSUE_DIST,INSERT_WIP_ISSUE_DIST,SQL_TRIGGER,NO,NO,INSERT
WIP_ISSUE_DIST,UPDATE_WIP_ISSUE_DIST,SQL_TRIGGER,NO,NO,UPDATE
WIP_RECEIPT_DIST,DELETE_WIP_RECEIPT_DIST,SQL_TRIGGER,NO,NO,DELETE
WIP_RECEIPT_DIST,INSERT_WIP_RECEIPT_DIST,SQL_TRIGGER,NO,NO,INSERT
WIP_RECEIPT_DIST,UPDATE_WIP_RECEIPT_DIST,SQL_TRIGGER,NO,NO,UPDATE
WITHHOLDING,UPDATE_WITHHOLDING,SQL_TRIGGER,NO,NO,UPDATE
WORK_ORDER,DELETE_WORK_ORDER,SQL_TRIGGER,NO,NO,DELETE
WORK_ORDER,INSERT_WORK_ORDER,SQL_TRIGGER,NO,NO,INSERT
WORK_ORDER,UPDATE_WORK_ORDER,SQL_TRIGGER,NO,NO,UPDATE
WORK_ORDER_SCHED,UPDATE_WORK_ORDER_SCHED,SQL_TRIGGER,NO,NO,UPDATE
WORKFLOW,UPDATE_WORKFLOW,SQL_TRIGGER,NO,NO,UPDATE
