ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-071130,19,10,MMC0001000,2932.50000000,3.45000000,0.00000000,2026-05-29 21:40:00.000,MTM2,41391.70000000
WO-071131,19,10,MMC0001000,3485.00000000,4.10000000,0.00000000,2026-06-01 17:10:00.000,MTM2,41391.70000000
WO-071132,19,10,MMC0001000,5400.00000000,4.32000000,0.00000000,2026-06-01 01:40:00.000,MTM2,41391.70000000
WO-071134,19,10,MMC0001000,9060.00000000,4.53000000,0.00000000,2026-05-29 11:10:00.000,MTM2,41391.70000000
WO-071138,10,10,MMC0000013,3756.30000000,0.32950000,0.00000000,2026-06-09 18:20:00.000,MTM2,3760.00000000
WO-071139,10,10,MMC0000411,4884.00000000,0.66000000,0.00000000,2026-06-05 00:10:00.000,MTM2,4700.00000000
WO-071141,10,10,MMC0000698,500.00000000,0.05000000,0.00000000,2026-06-04 15:10:00.000,MTM2,1300.00000000
WO-071142,10,10,MMF0005506,1344.64000000,7.64000000,0.00000000,2026-06-23 19:40:00.000,MTM2,7227.00000000
WO-071144,19,10,MMC0000791,15958.80000000,12.87000000,0.00000000,2026-06-03 02:20:00.000,MTM2,17780.00000000
WO-071147,10,10,22-77723-100-Raw,141.00000000,1.00000000,0.00000000,2026-05-29 00:50:00.000,MTM2,25.00000000
WO-071147,10,20,22-74372-000,282.00000000,2.00000000,0.00000000,2026-05-29 00:50:00.000,MTM2,1271.00000000
WO-071150,10,20,22-74372-000,236.00000000,2.00000000,0.00000000,2026-05-29 01:10:00.000,MTM2,1271.00000000
WO-071152,10,10,22-77723-200-Raw,10.00000000,1.00000000,0.00000000,2026-05-25 23:30:00.000,MTM2,15.00000000
WO-071152,10,20,22-74372-000,20.00000000,2.00000000,0.00000000,2026-05-25 23:30:00.000,MTM2,1271.00000000
WO-071153,10,10,22-77723-220-Raw,10.00000000,1.00000000,0.00000000,2026-06-03 22:20:00.000,MTM2,0.00000000
WO-071153,10,20,22-74372-000,20.00000000,2.00000000,0.00000000,2026-06-03 22:20:00.000,MTM2,1271.00000000
WO-071154,19,10,MMC0000856,207.70000000,0.62000000,0.00000000,2026-06-01 20:10:00.000,MTM2,4225.00000000
WO-071155,19,10,MMC0000856,970.20000000,3.08000000,0.00000000,2026-06-01 13:40:00.000,MTM2,4225.00000000
WO-071158,919,20,V-EMB-500,26.00000000,0.05000000,0.00000000,2026-05-26 17:30:00.000,MTM2,1173.00000000
WO-071158,919,40,20461010-PKG,510.00000000,1.00000000,0.00000000,2026-05-26 17:30:00.000,MTM2,4166.00000000
WO-071162,919,20,V-EMB-750,74.00000000,0.06250000,0.00000000,2026-05-25 23:10:00.000,MTM2,1774.00000000
WO-071162,919,40,24591564-PKG,1184.00000000,1.00000000,0.00000000,2026-05-25 23:10:00.000,MTM2,4182.00000000
WO-071171,96,10,Tooling Not Ready,20.00000000,1.00000000,0.00000000,2026-05-29 12:20:00.000,MTM2,0.00000000
WO-071171,96,20,24729960-1,20.00000000,1.00000000,0.00000000,2026-05-29 12:20:00.000,MTM2,20.00000000
WO-071171,96,30,24729960-2,20.00000000,1.00000000,0.00000000,2026-05-29 12:20:00.000,MTM2,10.00000000
WO-071171,96,40,24729960-3,40.00000000,2.00000000,0.00000000,2026-05-29 12:20:00.000,MTM2,20.00000000
WO-071171,96,50,24729960-4,40.00000000,2.00000000,0.00000000,2026-05-29 12:20:00.000,MTM2,20.00000000
WO-071176,19,10,A0006873403-Blank,10000.00000000,1.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,9107.00000000
WO-071176,19,20,FHA-M3-15,70000.00000000,7.00000000,0.00000000,2026-05-29 00:10:00.000,MTM2,1270902.00000000
WO-071177,10,10,MMC0000253,619.98000000,0.03000000,0.00000000,2026-06-01 16:40:00.000,MTM2,620.00000000
WO-071178,10,10,MMC0000761,16071.40000000,7.51000000,0.00000000,2026-06-04 14:50:00.000,MTM2,16100.00000000
WO-071179,19,10,MMC0000651,42100.00000000,4.21000000,0.00000000,2026-06-02 13:00:00.000,MTM2,112631.00000000
WO-071181,19,10,MMC0000654,8400.00000000,0.84000000,0.00000000,2026-06-08 14:00:00.000,MTM2,19060.00000000
WO-071184,19,10,MMC0000655,9840.00000000,1.23000000,0.00000000,2026-06-09 00:20:00.000,MTM2,11929.00000000
WO-071187,19,10,MMC0000170,1145.00000000,11.45000000,0.00000000,2026-06-04 01:40:00.000,MTM2,3881.00000000
WO-071188,19,10,MMC0000170,2578.00000000,12.89000000,0.00000000,2026-06-10 05:30:00.000,MTM2,3881.00000000
WO-071190,96,10,46886879,208.00000000,1.00000000,0.00000000,2026-06-04 22:10:00.000,MTM2,25.00000000
WO-071190,96,20,7110366,208.00000000,1.00000000,0.00000000,2026-06-04 22:10:00.000,MTM2,95.00000000
WO-071195,10,10,MMC0000007,42025.70000000,1.00300000,0.00000000,2026-05-31 23:50:00.000,MTM2,42040.00000000
WO-071197,19,10,A0003448372,3051.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,5697.00000000
WO-071197,19,20,A0003448373,3051.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,4611.00000000
WO-071197,19,30,A0003701884,3051.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,8381.00000000
WO-071197,19,40,A0003701903,3051.00000000,1.00000000,0.00000000,2026-05-29 00:00:00.000,MTM2,3808.00000000
