table_name,PrimaryKeyColumn
ACCOUNT,ID
ACCOUNT_AT_NATIVE,ACCOUNT_ID
ACCOUNT_AT_NATIVE,SITE_ID
ACCOUNT_AT_NATIVE,ACCT_YEAR
ACCOUNT_AT_NATIVE,ACCT_PERIOD
ACCOUNT_AT_NATIVE,CURRENCY_ID
ACCOUNT_BAL_DIM,ACCOUNT_ID
ACCOUNT_BAL_DIM,SITE_ID
ACCOUNT_BAL_DIM,ACCT_YEAR
ACCOUNT_BAL_DIM,ACCT_PERIOD
ACCOUNT_BAL_DIM,CURRENCY_ID
ACCOUNT_BAL_DIM,USER_DIMENSION_1
ACCOUNT_BAL_DIM,USER_DIMENSION_2
ACCOUNT_BAL_DIM,CUST_ORDER_ID
ACCOUNT_BAL_DIM,PRODUCT_CODE
ACCOUNT_BAL_SUM,SPID
ACCOUNT_BAL_SUM,ACCOUNT_ID
ACCOUNT_BAL_SUM,SITE_ID
ACCOUNT_BAL_SUM,ACCT_YEAR
ACCOUNT_BAL_SUM,ACCT_PERIOD
ACCOUNT_BAL_SUM,CURRENCY_ID
ACCOUNT_BALANCE,ACCOUNT_ID
ACCOUNT_BALANCE,SITE_ID
ACCOUNT_BALANCE,ACCT_YEAR
ACCOUNT_BALANCE,ACCT_PERIOD
ACCOUNT_BALANCE,CURRENCY_ID
ACCOUNT_BUDGET,account_id
ACCOUNT_BUDGET,SITE_ID
ACCOUNT_BUDGET,acct_year
ACCOUNT_BUDGET,acct_period
ACCOUNT_BUDGET,budget_type
ACCOUNT_BUDGET,budget_code
ACCOUNT_BUDGET,currency_id
ACCOUNT_BUDGET_SUM,SPID
ACCOUNT_BUDGET_SUM,ACCOUNT_ID
ACCOUNT_BUDGET_SUM,SITE_ID
ACCOUNT_BUDGET_SUM,ACCT_YEAR
ACCOUNT_BUDGET_SUM,ACCT_PERIOD
ACCOUNT_BUDGET_SUM,BUDGET_TYPE
ACCOUNT_BUDGET_SUM,BUDGET_CODE
ACCOUNT_BUDGET_SUM,CURRENCY_ID
ACCOUNT_CHG_LOG,TRANSACTION_ID
ACCOUNT_GROUP,GROUP_ID
ACCOUNT_GROUP,ACCOUNT_ID
ACCOUNT_PERIOD,SITE_ID
ACCOUNT_PERIOD,ACCT_YEAR
ACCOUNT_PERIOD,ACCT_PERIOD
ACCOUNT_PROFILE,account_type
ACCOUNT_PROFILE,profile_id
ACCOUNT_PROFILE,profile_type
ACCOUNT_PROFILE,account_id
ACCOUNT_SITE,ACCOUNT_ID
ACCOUNT_SITE,SITE_ID
ACCOUNTING_ENTITY,ID
ADDRESS_POS_SETUP,country
ADDRESS_POS_SETUP,field_no
ADDRESS_POS_SETUP,field_type
ADJ_REASON,ID
ADJ_REASON_SYNC,EVENT_ID
ADJUSTMENT_DETAIL,TRANSACTION_ID
ADJUSTMENT_DETAIL,DIST_NO
ADJUSTMENT_DETAIL,CURRENCY_ID
ADJUSTMENT_DIST,TRANSACTION_ID
ADJUSTMENT_DIST,DIST_NO
ADJUSTMENT_DIST,ENTRY_NO
ADJUSTMENT_DIST,CURRENCY_ID
ADV_SHIP_NOTICE,id
AIC,CODE
AIC_SYNC,EVENT_ID
ALLOCATION,ID
ALLOCATION_DETAIL,ALLOC_ID
ALLOCATION_DETAIL,LINE_NO
AMTS_PENDING_TRANS,PENDING_ID
APP_CONFIG,ID
APP_CONFIG_ITEM,ID
APP_CONFIG_USER,PROGRAM_ID
APP_CONFIG_USER,USER_ID
APPLICATION,PROGRAM_ID
APPLICATION,LANGUAGE_ID
APPLICATION_FIELDS,PROGRAM_ID
APPLICATION_FIELDS,FIELD_ID
APPLICATION_GROUP,GROUP_ID
APPLICATION_GROUP,LANGUAGE_ID
APPLICATION_LINK,GROUP_ID
APPLICATION_LINK,GROUP_SEQ_NO
APPLICATION_LINK,PROGRAM_ID
APPLICATION_LINK,LANGUAGE_ID
APPLICATION_USER,NAME
APS_DATA,LAYOUT_KEY
APS_DATA,SEGMENT_TYPE
APS_DATA,TABLE_NAME
APS_DATA,COLUMN_NAME
APS_LAYOUT,KEY
APS_TABLE,LAYOUT_KEY
APS_TABLE,SEGMENT_TYPE
APS_TABLE,TABLE_NAME
BANK_ACCOUNT,ID
BANK_ADJ_CURR,BANK_ACCOUNT_ID
BANK_ADJ_CURR,ADJUSTMENT_ID
BANK_ADJ_CURR,CURRENCY_ID
BANK_ADJ_DIST,BANK_ACCOUNT_ID
BANK_ADJ_DIST,ADJUSTMENT_ID
BANK_ADJ_DIST,DIST_NO
BANK_ADJ_DIST,ENTRY_NO
BANK_ADJ_DIST,CURRENCY_ID
BANK_ADJ_LINE,BANK_ACCOUNT_ID
BANK_ADJ_LINE,ADJUSTMENT_ID
BANK_ADJ_LINE,LINE_NO
BANK_ADJUSTMENT,BANK_ACCOUNT_ID
